TERM_CODE,CRN,TERM_DESC,TITLE,SUBJ_CODE,SUBJ_DESC,CRSE_NUM,SEQ_NUM,XLST_GROUP,SCHD_DESC,MAX_ENRL,CREDIT_HR,COLL_DESC,DEPT_DESC,BLDG_DESC,ROOM_CODE,BEGIN_TIME,END_TIME,START_DATE,END_DATE,SUN_DAY,MON_DAY,TUE_DAY,WED_DAY,THU_DAY,FRI_DAY,SAT_DAY,HRS_WEEK
202230,3212,Spring Quarter 2022,Suicide Assessment & Interv,SOWK,Social Work,4784,2,,Lecture,24,3,Social Work,Graduate School of Social Work,Craig Hall,384,1400,1550,28-Mar-22,05-Jun-22,,,T,,,,,1.83
202230,3285,Spring Quarter 2022,Assessment with Latinx,CPSY,Clinical Psychology,5827,1,,Lecture,12,3,Professional Psychology,Professional Psychology,Ammi Hyde Building,19,0800,1050,28-Mar-22,05-Jun-22,,,T,,,,,2.83
202230,5346,Spring Quarter 2022,Cross-cultrl Traum Intrvntions,CPSY,Clinical Psychology,4556,1,,Lecture,28,3,Professional Psychology,Professional Psychology,Ammi Hyde Building,108,0800,1050,28-Mar-22,05-Jun-22,,,T,,,,,2.83
202230,1191,Spring Quarter 2022,LGBT Issues,CPSY,Clinical Psychology,5370,1,,Lecture,43,3,Professional Psychology,Professional Psychology,Ammi Hyde Building,133,1130,1420,28-Mar-22,05-Jun-22,,,,,R,,,2.83
202230,1419,Spring Quarter 2022,Self Report Assessment,CPSY,Clinical Psychology,5705,1,,Lecture,41,3,Professional Psychology,Professional Psychology,Ammi Hyde Building,133,1315,1605,28-Mar-22,05-Jun-22,,,T,,,,,2.83
202230,1581,Spring Quarter 2022,Clinical Issues: Intrvw & Diag,CPSY,Clinical Psychology,4674,1,,Lecture,32,3,Professional Psychology,Professional Psychology,Ammi Hyde Building,133,0900,1150,28-Mar-22,05-Jun-22,,,T,,,,,2.83
202230,3583,Spring Quarter 2022,Couns Psych Sem: Special Tpcs,CNP,Counseling Psychology,4794,1,,Lecture,15,3,Education,Counseling Psychology,Katherine A. Ruffatto Hall,134,1800,2020,28-Mar-22,05-Jun-22,,M,,,,,,2.33
202230,3018,Spring Quarter 2022,Colloquium: Prison U.S. Narrat,GWST,Gender and Women's Studies,2981,1,,Lecture,15,2,Social Sciences,Gender and Women's Studies,Sturm Hall,311,1600,1750,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,1767,Spring Quarter 2022,Caring in a Capitalist Economy,ASEM,Advanced Seminar,2493,1,,Lecture,17,4,Social Sciences,Economics,Sturm Hall,186,1600,1750,28-Mar-22,05-Jun-22,,,T,,R,,,3.66
202230,4830,Spring Quarter 2022,Environmental Geology,GEOL,Geology,3100,1,,Lecture,15,4,Natural Sciences & Mathematics,Geography & the Environment,Boettcher Center West,124,1400,1650,28-Mar-22,05-Jun-22,,,T,,R,,,1.83
202230,5316,Spring Quarter 2022,Fundamentals of Archaeology,ANTH,Anthropology,2310,1,,Lecture,25,4,Social Sciences,Anthropology,Sturm Hall,154,1600,1750,28-Mar-22,05-Jun-22,,M,,W,,,,3.66
202230,1555,Spring Quarter 2022,Calculus II,MATH,Mathematics,1952,2,,Lecture,44,4,Natural Sciences & Mathematics,Mathematics,F.W. Olin Hall,105,1300,1350,28-Mar-22,05-Jun-22,,M,T,W,R,F,,4.16
202230,1359,Spring Quarter 2022,Biochemistry-Nucleic Acids,CHEM,Chemistry,3813,1,,Lecture,40,3,Natural Sciences & Mathematics,Chemistry & Biochemistry,Boettcher Center Auditorium,103,0800,0850,28-Mar-22,05-Jun-22,,M,,W,,F,,2.5
202230,5656,Spring Quarter 2022,Topics: Electrocardiography,BIOL,Biology,3110,1,,Lecture,30,2,Natural Sciences & Mathematics,Biological Sciences,Engineering & Computer Science,401,1000,1150,28-Mar-22,05-Jun-22,,,,,,F,,1.83
202230,1356,Spring Quarter 2022,Chemical Systems III,CHEM,Chemistry,3130,1,,Lecture,15,3,Natural Sciences & Mathematics,Chemistry & Biochemistry,F.W. Olin Hall,103,1100,1150,28-Mar-22,05-Jun-22,,M,,W,,F,,2.5
202230,1362,Spring Quarter 2022,Chemistry Seminar,CHEM,Chemistry,4900,1,,Lecture,60,1,Natural Sciences & Mathematics,Chemistry & Biochemistry,F.W. Olin Hall,205,1600,1730,28-Mar-22,05-Jun-22,,,T,,R,,,3
202230,2701,Spring Quarter 2022,Trauma Informd Assmnt & Interv,SOWK,Social Work,4752,1,,Lecture,20,3,Social Work,Graduate School of Social Work,Sie Complex,3110,0800,1050,28-Mar-22,05-Jun-22,,,,,R,,,2.83
202230,2137,Spring Quarter 2022,Evidence for Practice,SOWK,Social Work,4201,1,,Lecture,22,3,Social Work,Graduate School of Social Work,Craig Hall,348,1000,1150,28-Mar-22,05-Jun-22,,,,,R,,,1.83
202230,1056,Spring Quarter 2022,University Physics II,PHYS,Physics & Astronomy,1212,01,,Lecture,80,5,Natural Sciences & Mathematics,Physics and Astronomy,F.W. Olin Hall,205,1000,1050,28-Mar-22,05-Jun-22,,M,,W,R,F,,3.33
202230,1785,Spring Quarter 2022,Cult/Nature/Econ-Human Ecology,GEOG,Geography,3310,1,,Lecture,20,4,Natural Sciences & Mathematics,Geography & the Environment,F.W. Olin Hall,142,1200,1350,28-Mar-22,05-Jun-22,,,T,,R,,,3.66
202230,2218,Spring Quarter 2022,Advanced Geographic Statistics,GEOG,Geography,3000,1,,Lecture,15,4,Natural Sciences & Mathematics,Geography & the Environment,Boettcher Center West,125,1200,1350,28-Mar-22,05-Jun-22,,,T,,R,,,3.66
202230,1591,Spring Quarter 2022,Calculus III,MATH,Mathematics,1953,3,,Lecture,44,4,Natural Sciences & Mathematics,Mathematics,***,***,1100,1150,28-Mar-22,09-Jun-22,,M,T,W,R,F,,3.33
